Розмір порції,,,,,,,,,,,,,,
277.2222222,,,,,,,,,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Салат свіжий,450,6.01,5.94,35.315,3.7,3.66,21.76,,,,,,,
,,,,,,,,,,,,,,
,1,40,15,75,120,150,140,50,5,,,,,
,,кіноа,насіння гарбуза,салат,томат,перець,авокадо,мікрогрін,олія,,,,,
,,40,15,75,120,150,140,50,5,,,,,
Грамів,718,160,15,75,120,150,140,50,8,,,,,
Білків,20.23,5.64,5.4,0.75,1.2,1.5,2.24,3.5,0,,,,,
Жирів,33.69,2.44,6.75,0.15,0.24,0.45,18.34,0.35,4.97,,,,,
Вуглеводів,63.6725,25.64,0.3,2.5125,4.32,9,8.4,13.5,0,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Салат з кіноа,718,20.23,33.69,63.6725,7.81,13.01,24.58,,,,,,,
,,,,,,,,,,,,,,
,1,100,100,70,200,20,50,5,,,,,,
,,гречка на замочування,шпинат,авокадо,кокосове молоко,волоський горіх,полуниця,лимон,,,,,,
,,100,100,70,200,20,50,5,,,,,,
Грамів,695,250,100,70,200,20,50,5,,,,,,
Білків,20.772,12.6,2.9,1.12,0.6,3.152,0.35,0.05,,,,,,
Жирів,30.611,2.6,0,9.17,6,12.676,0.15,0.015,,,,,,
Вуглеводів,95.94,68,3.6,4.2,14,3.69,2,0.45,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Смузі з зеленої гречки,695,20.772,30.611,95.94,8.29,12.21,38.27,,,,,,,
,,,,,,,,,,,,,,
,1,40,100,50,50,10,40,20,100,,,,,
,,кіноа,огірок,томат,капуста,насіння гарбуза,авокадо,мікрогрін,боби едамаме,,,,,
,,40,100,50,50,10,40,20,100,,,,,
Грамів,530,160,100,50,50,10,40,20,100,,,,,
Білків,24.28,5.64,1,0.5,0.5,3.6,0.64,1.4,11,,,,,
Жирів,19.32,2.44,0,0.1,0.1,4.5,5.24,0.14,6.8,,,,,
Вуглеводів,49.94,25.64,2,1.8,2.5,0.2,2.4,5.4,10,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Будда боул,530,24.28,19.32,49.94,12.7,10.11,26.12,,,,,,,
,,,,,,,,,,,,,,
,1,150,135,180,360,32,5,,,,,,,
,,салат,авокадо,мандарин,буряк,фісташки,лимон,,,,,,,
,,150,135,180,360,32,5,,,,,,,
Грамів,862,150,135,180,360,32,5,,,,,,,
Білків,17.13,1.5,2.16,1.26,5.76,6.4,0.05,,,,,,,
Жирів,33.66,0.3,17.685,0.54,0.72,14.4,0.015,,,,,,,
Вуглеводів,80.135,5.025,8.1,21.6,36,8.96,0.45,,,,,,,
,Грамів,Білків,Жирів,Вуглеводів,Білків на порцію,Жирів на порцію,Вуглеводів на порцію,,,,,,,
Салат з мандаринів,862,17.13,33.66,80.135,5.51,10.83,25.77,,,,,,,
,,,,,,,,,,,,,,
,1,500,100,30,100,,,,,,,,,
,,капуста,фундук,олія,цибуля,,,,,,,,,
,,500,100,30,100,,,,,,,,,
Грамів,730,500,100,30,100,,,,,,,,,
Білків,22.1,5,16,0,1.1,,,,,,,,,
Жирів,91.92,1,61,29.82,0.1,,,,,,,,,
Вуглеводів,37,25,3,0,9,,,,,,,,,
